gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,1,1,0,0.02073486728029968,1,1,0.9488019722715353,0.33524701636775484,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,0
0,0,0,0,-0.9554980550342594,1,1,0.6100124770416209,-0.6535836208466869,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
1,0,0,1,0.6308804437268991,1,1,0.4596229937932199,0.6105100338624685,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0
0,0,0,0,1.1596732766472853,1,1,1.380138841808158,1.816122096849324,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,1
0,0,1,0,1.4444078789890318,1,0,-0.024598089632950633,0.893171060520251,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0
1,1,1,0,-1.0368507985604727,1,1,0.17371771245285295,-0.8009949903719283,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
1,0,0,0,-1.2809090291391125,1,0,-1.4756087082274132,-0.9974044502590967,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,0.22411672609583283,1,0,-1.4805666032795584,-0.6807169719610872,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
1,1,1,0,-0.792792567981833,1,1,1.0958861921518397,-0.4627940136175174,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,1,-1.0368507985604727,1,1,0.20511771444977192,-0.7987558303285068,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,1,0,1.5664369942783516,1,0,1.0182125030015667,2.0042773981450566,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,0
0,0,0,1,0.3461458413851527,1,1,0.7818861721826508,0.5940895268773784,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0
1,0,1,1,-0.5894107091662998,1,1,0.6860335345078454,-0.30313312150179417,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0
1,0,0,0,1.4850842507521385,1,1,-1.511966605276477,-0.44918343296142654,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,1,0,0,-0.30467610682455337,1,1,0.8215493325998116,-0.045827289453342086,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
1,0,0,0,-0.5487343374031931,1,0,-1.5218823953807674,-0.8836902441324025,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
1,1,1,0,0.9969677895948588,0,1,-0.6608612879915702,0.12338296167108978,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
1,0,0,0,0.874938674305539,1,0,0.6463703740906851,0.9624533065696422,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,0
0,0,0,0,0.10208761080651294,1,0,0.6761177444035554,0.2746579798987055,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,1
0,0,0,0,0.8342623025424323,1,0,-1.4739560765433648,-0.545950270916343,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,0,0,1.0376441613579654,1,1,0.2067703461338202,0.8812947312703394,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,0
0,0,1,1,1.200349648410392,0,0,-0.5336086483198462,0.31463357243861095,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0
1,0,1,1,1.1189969048841788,1,1,1.009949344581325,1.5454910672875704,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0
1,0,0,0,-1.2402326573760059,1,1,0.5092019443146708,-0.9428084597886162,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
1,0,0,0,-1.2809090291391125,1,1,0.8017177523912309,-0.9671538371234626,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,1,0,1.6071133660414583,1,0,0.5158124710508644,1.5128256737129526,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
0,0,1,1,0.4681749566744726,1,0,-1.4954402884359934,-0.6637037461409737,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,-1.2402326573760059,0,0,-1.333482383399254,-0.9859013143497554,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,0,1,1.200349648410392,1,0,-1.2839034328778032,-0.2868004247144852,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,0,1,1,1.4444078789890318,1,1,0.6000966869373308,1.4900828324876136,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,1
1,0,1,1,-0.9148216832711529,1,0,-0.5055139096910242,-0.7974167248123432,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0
1,0,0,0,-0.6300870809294065,1,0,-1.510313973592429,-0.8554812180951821,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,1,1,0.14276398256961956,1,0,-1.4739560765433648,-0.6910566227498272,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,0,0,1,0.6308804437268991,1,0,-1.483871866647655,-0.5950142189266058,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
1,0,0,0,0.26479309785893945,1,0,0.3439387759098345,0.3186289364376569,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,0,0,-1.118203542086686,1,0,-1.4871771300157517,-0.9588338208836908,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,1
1,0,1,0,0.10208761080651294,1,1,0.8810440732255526,0.4146493877114329,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0
0,0,0,1,-0.46738159387697986,1,0,-1.4574297597028811,-0.8077344230516378,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1,1,1,0,-1.2809090291391125,1,1,0.3158440372810125,-0.973607886660383,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,1,0.02073486728029968,1,1,0.472844047265607,0.10514039308203918,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,0
1,0,0,0,1.0376441613579654,1,1,-1.3070402764544802,-0.35895845474121174,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,0,0,0,-0.01994150448280695,1,1,0.00019138562777481135,-0.12336369409416907,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,0
1,0,0,0,-1.2809090291391125,0,1,-1.3367876467673507,-0.9955604361056907,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,0,0,0.3461458413851527,1,1,1.3768335784400614,0.8739186746567159,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,0
0,1,0,0,0.5088513284375793,1,1,0.6893387978759424,0.6525052609513422,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0
1,0,1,1,-1.1588799138497925,1,0,1.2000019882468869,-0.8368435036161158,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,0,-0.6300870809294065,1,0,0.5025914175784773,-0.4154643170134338,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
0,0,0,0,-0.34535247858766,1,0,-1.3301771200311572,-0.7405376691995508,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
1,0,1,0,0.6715568154900058,1,1,0.6761177444035554,0.8807459175342067,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0
1,0,1,0,1.6071133660414583,1,1,1.6759599132528151,2.692863016596024,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0
1,0,0,0,-1.2402326573760059,1,0,-0.6773876048320538,-0.9706003873863759,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,1,0.7122331872531124,1,1,0.6381072156704434,0.8221106579657896,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,0
1,0,1,1,-1.2809090291391125,1,0,0.8033703840752796,-0.9671318845740172,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,1
0,0,1,1,1.6071133660414583,1,1,1.4478967408541412,2.3859883279000678,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
1,0,0,0,-0.9554980550342594,1,1,-1.4855244983317035,-0.934005487461048,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0
0,0,1,0,1.5664369942783516,0,1,-0.5699665453689102,0.4767531500922086,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0
0,1,1,0,1.6071133660414583,1,1,1.6825704399890087,2.700941554791898,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
1,1,0,0,-0.792792567981833,1,1,1.3900546319124485,-0.4072760160703341,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,0,1,1,1.6071133660414583,1,1,1.1173704040444685,2.123918792621984,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,0
1,0,1,1,1.0783205331210721,1,1,1.1454651426732907,1.5673338539856516,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,0,0,0,0.9969677895948588,1,0,0.16214929066451458,0.7035668909611281,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0
1,0,1,1,1.6071133660414583,0,0,-0.8707455118657124,0.20682460211270456,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,0
0,1,1,0,1.6071133660414583,1,0,0.45135983537297814,1.4534001223645043,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
0,0,0,0,0.7122331872531124,1,1,0.8215493325998116,0.8836217015115421,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0
0,0,0,0,-1.2809090291391125,1,0,-1.4987455518040902,-0.9977117859513309,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1
1,0,1,1,0.8342623025424323,1,0,0.1604966589804663,0.6120906174225308,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,0
0,0,0,0,-0.9961744267973661,1,1,0.500938785894429,-0.7320420325642167,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
1,0,0,0,1.0783205331210721,1,1,-0.11549283225561037,0.5942870998223861,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,0
0,0,1,1,1.0376441613579654,1,0,-1.4723034448593166,-0.49664484486218186,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,0,-0.26399973506144675,1,1,1.1785177763542578,0.13523733837155597,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0
1,0,0,1,-0.7114398244556197,1,1,0.8645177563850689,-0.3784084135497544,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,0,0,0,1.3630551354628184,1,1,-0.12210335899180391,0.7575921151460303,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0
1,0,0,0,-1.1588799138497925,1,0,-0.5154296997953143,-0.9147531015975131,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1,0,1,0,1.1189969048841788,1,0,1.2000019882468869,1.6576246898542022,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
1,1,0,0,-0.9961744267973661,1,0,1.1719072496180643,-0.6408291896189631,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,1
0,0,0,0,-1.1588799138497925,1,1,0.5951387918851855,-0.865952584180594,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0
0,0,0,0,-0.8741453115080462,1,1,1.0909282970996945,-0.5209463170981374,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,1
0,0,0,0,-1.1995562856128992,1,0,0.5042440492625255,-0.9107577375984669,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,1
0,0,1,1,-0.34535247858766,1,1,-1.4458613379145426,-0.7908529125281961,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,1,0,0,0.06141123904340631,1,1,1.0413493465782435,0.3944091371228592,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0
0,0,1,0,0.6308804437268991,1,1,-0.1402823075163358,0.3044036843970975,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
0,0,0,0,-0.7521161962187263,1,1,0.15884402729641803,-0.60173169905687,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,0
0,0,1,0,-0.18264699153523348,1,1,0.9091388118543745,0.13653253878882923,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,1
1,0,0,0,1.6071133660414583,1,0,0.6430651107225881,1.6267594053340997,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0
1,0,1,1,0.9562914178317522,1,0,1.6858757033571052,1.8773697098017326,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0
1,1,0,0,-1.1588799138497925,0,1,-1.3103455398225767,-0.9612705538721201,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1,0,0,0,-0.30467610682455337,1,0,-1.4623876547550263,-0.7685271697423182,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,1,0,0,0.427498584911366,1,1,0.8397282811243434,0.6791337034285005,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,0,0,0,-0.5894107091662998,1,1,-0.1402823075163358,-0.49857666921336896,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
0,0,0,0,-1.2809090291391125,1,1,-0.3369454779180911,-0.9822791436912796,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
1,0,1,1,1.6071133660414583,1,1,0.8215493325998116,1.886611733118207,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,0
0,0,0,0,1.5664369942783516,1,0,-1.3318297517152058,-0.251478772656985,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0
1,1,0,0,-1.2402326573760059,1,1,0.3307177224374474,-0.9376057055700783,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
0,0,1,0,1.6071133660414583,1,0,-0.003113877740321727,1.103256958711846,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0
1,0,0,0,0.7935859307793257,1,1,0.8066756474433762,1.0363675405519932,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0
0,0,0,1,-0.6300870809294065,1,1,-0.004766509424369996,-0.5263466442616832,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,1
1,1,0,0,-0.7114398244556197,1,1,0.5075493126306225,-0.4718384639889841,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,0,0,0.3054694696220461,1,1,0.9438440772193905,0.6429778544920787,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,0
0,0,1,0,0.6308804437268991,1,1,1.1636440911978225,1.116099200137351,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,0
1,0,0,0,-0.8334689397449395,1,0,-0.2708402105561566,-0.7187607401498055,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1
1,1,1,0,0.06141123904340631,1,1,0.6728124810354589,0.2557568348262954,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0
1,0,1,1,-1.0368507985604727,1,1,0.1687598174007081,-0.773795781609192,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1,1,1,0,-1.0368507985604727,1,1,0.3307177224374474,-0.7932237878682894,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,0,0,1,1.6071133660414583,0,0,0.07786507477804816,1.044841224637882,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,1,0,-0.7114398244556197,1,0,0.7703177503943124,-0.3957289750621022,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
1,0,0,0,-0.8334689397449395,0,0,-1.019482363430065,-0.8120151701934728,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0
0,0,0,0,-1.2809090291391125,1,1,1.170254617934016,-0.9622584185971589,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,1
1,0,0,0,-1.2809090291391125,1,1,-0.4972507512707824,-0.9844085409874743,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,0,1,0,-0.3860288503507666,1,1,0.29105456202028707,-0.2850222682094153,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,0
1,1,1,0,0.5495277002006859,1,1,1.1950440931947415,1.0485073003952485,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
1,0,0,0,0.10208761080651294,1,0,-1.4342929161262041,-0.6965447601111541,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,1,1,0,0.874938674305539,1,1,1.2115704100352251,1.3527915882566592,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,1
0,1,1,0,-0.8741453115080462,1,1,1.2958546259216916,-0.5085431266615386,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,1
0,0,1,1,-1.2809090291391125,1,1,-1.4772613399114616,-0.9974264028085419,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,1
1,0,0,0,1.4850842507521385,1,1,1.0843177703635014,1.9544890160030988,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0
1,1,0,0,0.06141123904340631,1,1,1.157033564461629,0.46154003332661026,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0
1,0,1,1,-0.30467610682455337,1,1,0.8446861761764887,-0.04975679580405229,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,1
0,0,0,1,-0.30467610682455337,1,1,-0.3336402145499943,-0.4502810604336919,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0
0,0,1,0,-0.46738159387697986,1,1,1.3074230477100304,-0.040251341894234,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,1
0,0,1,1,0.3461458413851527,1,0,0.4976335225263325,0.4540981190646508,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,1
0,1,0,0,0.752909559016219,1,0,-1.4954402884359934,-0.5813158280727337,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,1,0,-1.1995562856128992,1,1,-1.4954402884359934,-0.9820157130979359,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,1,0,1.6071133660414583,1,0,-1.3318297517152058,-0.23762671395699583,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0
0,0,0,0,-0.5894107091662998,0,1,-0.9798192030129041,-0.7396376146722932,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0
0,0,0,0,-1.0368507985604727,1,1,0.06629665298970934,-0.8051440222170915,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
0,0,1,1,0.3868222131482594,1,1,0.4331808868484462,0.4794752662234267,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
0,0,1,1,-1.2402326573760059,1,0,0.028286124256597264,-0.9472867798754591,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,1
